transaction_id,date,product_id,customer_id,region,quantity,unit_price,discount,revenue
T108225,2025-02-14,P0009,C00202,central,5.0,11247.7,0.2,44990.8
T103133,2023-03-08,P0033,C00001,west,4.0,10082.29,0.2,32263.33
T101446,2023-08-03,P0039,C00018,central,3.0,14579.92,0.05,41552.77
T104568,2024-07-07,P0016,C00213,north,7.0,2604.21,0.15,15495.05
T106022,2024-01-09,P0020,C00238,west,1.0,4508.3,0.0,4508.3
T104855,2024-09-09,P0006,C00002,west,3.0,7884.39,0.0,23653.17
T104165,2024-08-25,P0035,C00008,south,2.0,8930.77,0.0,17861.54
T100764,2024-10-16,P0006,C00049,east,4.0,7884.388888888889,0.1,28383.8
T106049,2025-05-29,P0040,C00160,south,8.0,12756.37,0.0,102050.96
T103377,2023-06-18,P0012,C00233,west,3.0,14484.04,0.0,43452.12
T107222,2023-12-14,P0035,C00032,north,4.0,8930.77,0.1,32150.77
T102855,2023-01-22,P0029,C00233,west,3.0,12773.07,0.0,38319.21
T107048,2023-09-12,P0036,C00229,east,4.0,4229.62,0.0,16918.48
T106715,2024-07-14,P0040,C00113,east,3.0,12756.37,0.15,32528.74
T100927,2025-04-16,P0015,C00039,north,3.0,4549.66,0.05,12966.53
T104230,2025-02-26,P0027,C00127,south,5.0,9818.49,0.0,49092.45
T107807,2023-06-22,P0036,C00210,north,5.0,4229.62,0.0,21148.1
T100330,2024-06-19,P0026,C00178,west,4.0,13905.57,0.0,55622.28
T104429,2023-06-21,P0039,C00238,west,6.0,14579.92,0.15,74357.59
T104890,2024-06-04,P0020,C00177,central,3.0,4508.3,0.0,13524.9
T106889,2023-09-22,P0032,C00052,east,2.0,5656.65,0.15,9616.3
T104303,2025-04-09,P0022,C00228,east,3.0,3102.81,0.0,9308.43
T104794,2025-08-09,P0006,C00116,central,6.0,7884.39,0.0,47306.34
T105996,2025-03-03,P0012,C00118,central,7.0,14484.04,0.0,101388.28
T104818,2024-01-31,P0030,C00135,north,6.0,6824.34,0.0,40946.04
T101934,2023-03-04,P0031,C00158,east,4.0,1566.84,0.0,6267.36
T100567,2023-11-03,P0017,C00014,central,9.0,382.2,0.0,3439.8
T101084,2023-08-23,P0005,C00205,north,1.0,8621.09,0.0,8621.09
T103422,2023-10-12,P0029,C00245,central,3.0,12773.07,0.0,38319.21
T101426,2025-11-01,P0032,C00084,north,1.0,5656.65,0.05,5373.82
T106177,2023-03-21,P0032,C00123,north,5.0,5656.65,0.0,28283.25
T103686,2023-03-31,P0001,C00196,east,2.0,6017.98,0.0,12035.96
T101056,2025-05-20,P0026,C00184,east,4.0,13905.57,0.0,55622.28
T100653,2023-02-10,P0026,C00093,north,3.0,13905.57,0.0,41716.71
T102760,2025-09-07,P0014,C00225,south,4.0,500.0,0.0,2000.0
T100730,2025-03-27,P0040,C00005,east,6.0,12756.37,0.05,72711.31
T104253,2024-12-27,P0014,C00003,north,10.0,500.0,0.0,5000.0
T101156,2024-05-21,P0029,C00044,south,4.0,12773.07,0.0,51092.28
T104262,2025-07-11,P0039,C00210,north,1.0,14579.92,0.0,14579.92
T102152,2025-06-22,P0024,C00154,west,3.0,11884.11,0.0,35652.33
T102214,2025-07-08,P0040,C00209,east,6.0,12756.37,0.0,76538.22
T101568,2024-01-25,P0017,C00118,central,2.0,382.2,0.0,764.4
T106398,2024-08-01,P0034,C00039,north,1.0,10038.95,0.1,9035.06
T105550,2025-04-06,P0029,C00193,east,2.0,12773.07,0.0,25546.14
T103817,2025-07-15,P0017,C00194,east,3.0,382.2,20.0,917.28
T105266,2023-07-22,P0022,C00092,south,2.0,3102.81,0.05,5895.34
T107589,2024-08-11,P0036,C00012,east,1.0,4229.62,0.2,3383.7
T101002,2023-02-22,P0005,C00116,central,3.0,8621.09,0.05,24570.11
T106252,2023-10-02,P0016,C00182,north,8.0,2604.21,0.0,20833.68
T100994,2025-11-12,P0008,C00239,east,7.0,499.0,0.0,3493.0
T104630,2024-03-29,P0016,C00074,east,7.0,2604.21,0.0,18229.47
T105461,2025-06-18,P0033,C00063,north,7.0,10082.29,0.0,70576.03
T105428,2025-06-07,P0038,C00047,central,1.0,5836.46,0.1,5252.81
T105756,2024-07-28,P0003,C00079,south,3.0,10949.99,0.0,32849.97
T106995,2025-04-02,P0013,C00117,west,3.0,9164.46,0.0,27493.38
T103105,2023-11-21,P0006,C00242,east,6.0,7884.39,1.5380512663172473e-16,47306.34
T100286,2025-12-25,P0008,C00164,north,5.0,499.0,0.0,2495.0
T103870,2024-01-27,P0016,C00116,central,3.0,2604.21,0.05,7422.0
T105532,2024-07-21,P0031,C00244,south,4.0,1566.84,0.0,6267.36
T104687,2023-02-26,P0040,C00212,south,1.0,12756.37,0.05,12118.55
T101877,2025-07-05,P0004,C00180,central,4.0,4999.13,0.0,19996.52
T104180,2024-06-05,P0032,C00071,east,8.0,5656.65,0.0,45253.2
T100248,2023-08-24,P0034,C00056,south,3.0,10038.95,0.2,1204674.0
T108820,2024-07-10,P0026,C00249,west,3.0,13905.57,0.0,41716.71
T100093,2025-02-02,P0010,C00107,east,4.0,8164.43,0.0,32657.72
T104397,2024-04-05,P0015,C00056,south,4.0,4549.66,0.0,18198.64
T107798,2023-12-09,P0020,C00225,south,4.0,4508.3,0.0,18033.2
T104983,2025-04-03,P0026,C00200,north,8.0,13905.57,0.05,105682.33
T107273,2023-12-13,P0008,C00205,north,6.0,499.0,0.0,2994.0
T102715,2025-11-15,P0038,C00072,west,3.0,5836.46,0.0,17509.38
T105480,2025-09-18,P0027,C00209,east,11.0,9818.49,0.0,108003.39
T106448,2024-12-21,P0001,C00188,north,1.0,6017.98,0.0,6017.98
T100623,2023-06-03,P0035,C00015,south,3.0,8930.77,0.0,26792.31
T102446,2023-04-26,P0027,C00070,west,6.0,9818.49,0.05,55965.39
T104763,2024-03-08,P0021,C00162,north,7.0,359.09,0.0,2513.63
T106064,2024-03-24,P0005,C00197,south,8.0,8621.09,0.0,68968.72
T103123,2025-10-10,P0035,C00114,south,6.0,8930.77,0.1,48226.16
T105169,2023-02-04,P0012,C00024,south,5.0,14484.04,0.0,72420.2
T102495,2024-12-20,P0006,C00099,north,10.0,7884.39,0.2,63075.12
T107741,2023-04-14,P0027,C00150,east,4.0,9818.49,0.0,39273.96
T102870,2023-07-16,P0011,C00237,central,7.0,8863.25,0.0,62042.75
T107074,2024-07-23,P0036,C00212,south,8.0,4229.62,0.0,33836.96
T107001,2024-01-23,P0021,C00177,south,2.0,359.09,0.0,718.18
T102718,2023-05-17,P0009,C00097,west,4.0,11247.7,0.0,44990.8
T107787,2025-05-04,P0024,C00201,west,7.0,11884.11,0.0,83188.77
T101945,2024-04-10,P0002,C00028,central,10.0,13910.88,0.0,139108.8
T108659,2025-03-10,P0022,C00078,west,9.0,3102.81,0.0,27925.29
T107305,2025-11-28,P0029,C00193,east,11.0,12773.07,0.0,140503.77
T103656,2025-05-31,P0022,C00001,west,6.0,3102.81,0.0,18616.86
T105558,2024-03-14,P0032,C00099,north,3.0,5656.65,0.05,16121.45
T107923,2025-10-25,P0010,C00216,south,8.0,8164.43,0.0,65315.44
T104315,2025-10-22,P0010,C00020,north,13.0,8164.43,0.0,106137.59
