product_id,product_name,category,unit_price,margin_pct
P0001,Sports Item 1,Electronics,6017.98,0.34
P0002,Beauty Item 2,Apparel,13910.88,0.14
P0003,Apparel Item 3,electronics,10949.99,0.15
P0004,Beauty Item 4,Apparel,"₹4,999.13",0.07
P0005,Beauty Item 5,Beauty,8621.09,0.33
P0006,Home & Kitchen Item 6, Apparel,7884.39,0.09
P0007,Apparel Item 7,Home & Kitchen,14423.4,0.23
P0008,Apparel Item 8,Sports,-499.0,0.13
P0009,Apparel Item 9,,11247.7,0.41
P0010,Beauty Item 10,SPORTS ,8164.43,0.24
P0011,Sports Item 11,Grocery,8863.25,0.28
P0012,Apparel Item 12,Home & Kitchen,14484.04,0.33
P0013,Grocery Item 13,Home & Kitchen,9164.46,0.11
P0014,Beauty Item 14,Electronics,0.0,0.29
P0015,Home & Kitchen Item 15,Home & Kitchen,4549.66,0.27
P0016,Sports Item 16,,2604.21,0.13
P0017,Grocery Item 17,Home & Kitchen,382.2,0.43
P0018,Grocery Item 18,,"₹6,437.51",0.29
P0019,Home & Kitchen Item 19,Sports,6013.99,0.33
P0020,Sports Item 20,Sports,4508.3,0.4
P0021,Beauty Item 21,Sports,359.09,0.3
P0022,Electronics Item 22,Beauty,3102.81,0.17
P0023,Sports Item 23,Apparel,10713.43,0.09
P0024,Home & Kitchen Item 24,Grocery,11884.11,0.23
P0025,Grocery Item 25,Electronics,9148.51,0.14
P0026,Beauty Item 26,Sports,"₹13,905.57",0.22
P0027,Sports Item 27,Home & Kitchen,9818.49,0.4
P0028,Electronics Item 28,Sports,13737.15,0.18
P0029,Electronics Item 29,Home & Kitchen,12773.07,0.1
P0030,Apparel Item 30,Grocery,6824.34,0.19
P0031,Apparel Item 31,Grocery,1566.84,0.41
P0032,Home & Kitchen Item 32,Grocery,5656.65,0.16
P0033,Sports Item 33,,10082.29,0.31
P0034,Sports Item 34,Sports,10038.95,0.05
P0035,Grocery Item 35,Grocery,8930.77,0.19
P0036,Grocery Item 36,Beauty,4229.62,0.17
P0037,Grocery Item 37,Home & Kitchen,8484.46,0.12
P0038,Apparel Item 38,Home & Kitchen,5836.46,0.26
P0039,Sports Item 39,Sports,14579.92,0.24
P0040,Sports Item 40,Home & Kitchen,12756.37,0.33
P0005,Beauty Item 5,Beauty,8621.09,0.33
