transaction_id,date,product_id,customer_id,region,quantity,unit_price,discount,revenue
T108225,2025-02-14,P0009,C00202,,5.0,11247.7,0.2,44990.8
T103133,03/08/2023,P0033,C00001,West,4.0,10082.29,0.2,32263.33
T101446,2023-08-03,P0039,C00018,Central,3.0,14579.92,0.05,41552.77
T104568,07-Jul-2024,P0016,C00213,,7.0,2604.21,0.15,15495.05
T106022,2024-01-09,P0020,C00238,West,1.0,4508.3,0.0,4508.3
T104855,2024-09-09,P0006,C00002,West,3.0,7884.39,0.0,23653.17
T104165,25-Aug-2024,P0035,C00008,South,2.0,8930.77,0.0,17861.54
T100764,16/10/2024,P0006,C00049,East,4.0,,0.1,28383.8
T106049,29-May-2025,P0040,C00160,South,8.0,12756.37,0.0,102050.96
T103377,06/18/2023,P0012,C00233,West,3.0,14484.04,0.0,43452.12
T107222,14/12/2023,P0035,C00032,North,4.0,8930.77,0.1,32150.77
T102855,2023-01-22,P0029,C00233,West,3.0,12773.07,0.0,38319.21
T107048,12-Sep-2023,P0036,C00229,East,4.0,4229.62,0.0,16918.48
T106715,14/07/2024,P0040,C00113,East,3.0,12756.37,0.15,32528.74
T100927,04/16/2025,P0015,C00039,North,3.0,4549.66,0.05,12966.53
T104230,02/26/2025,P0027,C00127,SOUTH ,5.0,9818.49,0.0,49092.45
T107807,22-Jun-2023,P0036,C00210,North,5.0,4229.62,0.0,21148.1
T100330,06/19/2024,P0026,C00178,West,4.0,13905.57,0.0,55622.28
T104429,21-Jun-2023,P0039,C00238,West,6.0,14579.92,0.15,74357.59
T104890,06/04/2024,P0020,C00177,,3.0,4508.3,0.0,13524.9
T106889,09/22/2023,P0032,C00052,East,2.0,5656.65,0.15,9616.3
T104303,04/09/2025,P0022,C00228,,3.0,3102.81,0.0,9308.43
T104794,08/09/2025,P0006,C00116,Central,6.0,7884.39,0.0,47306.34
T105996,03/03/2025,P0012,C00118,Central,7.0,14484.04,0.0,101388.28
T104818,2024-01-31,P0030,C00135,North,,6824.34,0.0,40946.04
T101934,03/04/2023,P0031,C00158,East,4.0,1566.84,0.0,6267.36
T100567,2023-11-03,P0017,C00014,Central,9.0,382.2,0.0,3439.8
T101084,08/23/2023,P0005,C00205,North,1.0,8621.09,0.0,8621.09
T103422,10/12/2023,P0029,C00245,Central,3.0,12773.07,0.0,38319.21
T101426,11/01/2025,P0032,C00084,North,1.0,5656.65,0.05,5373.82
T106177,03/21/2023,P0032,C00123,North,5.0,5656.65,0.0,28283.25
T103686,31/03/2023,P0001,C00196,East,2.0,6017.98,0.0,12035.96
T101056,2025-05-20,P0026,C00184,East,4.0,13905.57,0.0,55622.28
T100653,02/10/2023,P0026,C00093,North,3.0,13905.57,0.0,41716.71
T102760,09/07/2025,P0014,C00225,SOUTH ,4.0,500.0,0.0,2000.0
T100730,2025-03-27,P0040,C00005,East,6.0,12756.37,0.05,72711.31
T104253,27-Dec-2024,P0014,C00003,North,10.0,500.0,0.0,5000.0
T101156,05/21/2024,P0029,C00044,South,4.0,12773.07,0.0,51092.28
T104262,11-Jul-2025,P0039,C00210,North,1.0,14579.92,0.0,14579.92
T102152,22/06/2025,P0024,C00154,West,3.0,11884.11,0.0,35652.33
T102214,08-Jul-2025,P0040,C00209,East,6.0,12756.37,0.0,76538.22
T101568,2024-01-25,P0017,C00118,Central,2.0,382.2,,764.4
T106398,2024-08-01,P0034,C00039,North,1.0,10038.95,0.1,9035.06
T105550,2025-04-06,P0029,C00193,East,2.0,12773.07,0.0,25546.14
T103817,15-Jul-2025,P0017,C00194,East,3.0,382.2,20.0,917.28
T105266,22-Jul-2023,P0022,C00092,SOUTH ,2.0,3102.81,0.05,5895.34
T107589,08/11/2024,P0036,C00012,East,1.0,4229.62,0.2,3383.7
T101002,22/02/2023,P0005,C00116,Central,3.0,8621.09,0.05,24570.11
T106252,2023-10-02,P0016,C00182,North,8.0,2604.21,0.0,20833.68
T100994,12-Nov-2025,P0008,C00239,East,7.0,499.0,0.0,3493.0
T104630,29-Mar-2024,P0016,C00074,East,7.0,2604.21,0.0,18229.47
T105461,2025-06-18,P0033,C00063,North,7.0,10082.29,0.0,70576.03
T105428,06/07/2025,P0038,C00047,Central,1.0,5836.46,0.1,5252.81
T105756,2024-07-28,P0003,C00079,South,3.0,10949.99,0.0,32849.97
T106995,04/02/2025,P0013,C00117,West,unknown,9164.46,0.0,27493.38
T103105,2023-11-21,P0006,C00242,East,6.0,7884.39,,47306.34
T100286,2025-12-25,P0008,C00164,North,5.0,499.0,0.0,2495.0
T103870,27-Jan-2024,P0016,C00116,Central,3.0,2604.21,0.05,7422.0
T105532,07/21/2024,P0031,C00244,South,4.0,1566.84,0.0,6267.36
T104687,26/02/2023,P0040,C00212,South,1.0,12756.37,0.05,12118.55
T101877,2025-07-05,P0004,C00180,Central,4.0,4999.13,0.0,"₹19,996.52"
T104180,06/05/2024,P0032,C00071, East,8.0,5656.65,0.0,45253.2
T100248,24/08/2023,P0034,C00056,south,3.0,10038.95,0.2,1204674.0
T108820,10-Jul-2024,P0026,C00249,West,3.0,13905.57,0.0,41716.71
T100093,2025-02-02,P0010,C00107,east,4.0,8164.43,0.0,32657.72
T104397,05-Apr-2024,P0015,C00056,South,4.0,4549.66,0.0,18198.64
T107798,2023-12-09,P0020,C00225,SOUTH ,4.0,4508.3,0.0,18033.2
T104983,04/03/2025,P0026,C00200,North,8.0,13905.57,0.05,105682.33
T107273,13-Dec-2023,P0008,C00205,North,6.0,499.0,0.0,2994.0
T102715,15/11/2025,P0038,C00072,West,3.0,5836.46,0.0,17509.38
T105480,2025-09-18,P0027,C00209,East,11.0,9818.49,0.0,108003.39
T106448,2024-12-21,P0001,C00188,North,1.0,6017.98,0.0,6017.98
T100623,2023-06-03,P0035,C00015,South,3.0,8930.77,0.0,26792.31
T102446,2023-04-26,P0027,C00070,West,6.0,9818.49,0.05,55965.39
T104763,2024-03-08,P0021,C00162,north,7.0,359.09,0.0,2513.63
T106064,24/03/2024,P0005,C00197,South,8.0,8621.09,0.0,68968.72
T103123,2025-10-10,P0035,C00114,South,6.0,8930.77,0.1,48226.16
T105169,2023-02-04,P0012,C00024,South  ,5.0,14484.04,0.0,72420.2
T102495,2024-12-20,P0006,C00099,North,10.0,7884.39,0.2,63075.12
T107741,14-Apr-2023,P0027,C00150,East,4.0,9818.49,0.0,39273.96
T102870,16/07/2023,P0011,C00237,Central,7.0,8863.25,0.0,62042.75
T107074,23-Jul-2024,P0036,C00212,South,8.0,4229.62,0.0,33836.96
T107001,23-Jan-2024,P0021,C00177,South,2.0,359.09,0.0,718.18
T102718,2023-05-17,P0009,C00097,West,4.0,11247.7,0.0,44990.8
T107787,2025-05-04,P0024,C00201,West,7.0,11884.11,0.0,83188.77
T101945,04/10/2024,P0002,C00028,Central,10.0,13910.88,0.0,139108.8
T108659,10-Mar-2025,P0022,C00078,West,9.0,3102.81,0.0,27925.29
T107305,2025-11-28,P0029,C00193,East,11.0,12773.07,0.0,140503.77
T103656,05/31/2025,P0022,C00001,West,6.0,3102.81,0.0,18616.86
T105558,2024-03-14,P0032,C00099,North,3.0,5656.65,0.05,"₹16,121.45"
T107923,25/10/2025,P0010,C00216,South,8.0,8164.43,0.0,65315.44
T104315,22-Oct-2025,P0010,C00020,North,13.0,8164.43,0.0,106137.59
T105430,2024-07-06,P0008,C00190,North,5.0,499.0,0.0,2495.0
T106203,22/08/2025,P0023,C00113,East,2.0,10713.43,0.05,20355.52
T106717,28-Dec-2023,P0033,C00206,North,7.0,10082.29,0.0,70576.03
T104830,06/01/2024,P0026,C00087,,1.0,13905.57,0.0,13905.57
T102303,22/01/2023,P0013,C00168,North,3.0,9164.46,0.0,"₹27,493.38"
T102867,2024-03-04,P0038,C00014,Central,1.0,5836.46,0.0,5836.46
T104209,02/16/2023,P0030,C00028,Central,4.0,6824.34,0.15,23202.76
