year,month,target_revenue
2024,1,2000000.0
2024,2,2125000.0
2024,3,2500000.0
2024,4,2500000.0
2024,5,2500000.0
2024,6,2500000.0
2024,7,2500000.0
2024,8,2500000.0
2024,9,2500000.0
2024,10,3500000.0
2024,11,4000000.0
2024,12,3750000.0
2025,1,2300000.0
2025,2,2444000.0
2025,3,2875000.0
2025,4,2875000.0
2025,5,2875000.0
2025,6,2875000.0
2025,7,2875000.0
2025,8,2875000.0
2025,9,2875000.0
2025,10,4025000.0
2025,11,4600000.0
2025,12,4312000.0
2026,1,2600000.0
2026,2,2762000.0
2026,3,3250000.0
2026,4,3250000.0
2026,5,3250000.0
2026,6,3250000.0
2026,7,3250000.0
2026,8,3250000.0
2026,9,3250000.0
2026,10,4550000.0
2026,11,5200000.0
2026,12,4875000.0
